Channel Number	Receive Frequency	Transmit Frequency	Offset Frequency	Offset Direction	Operating Mode	Name	Tone Mode	CTCSS	DCS	Tx Power	Skip	Step	Mask	Clock Shift	Half Dev	Bank 1	Bank 2	Bank 3	Bank 4	Bank 5	Bank 6	Bank 7	Bank 8	Bank 9	Comment	Icon	
76	147.06000	147.06000	 	Simplex	FM	N7DZP	None	88.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
77	147.08000	147.08000	 	Simplex	FM	K7SDC	Tone	136.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
78	147.16000	147.16000	 	Simplex	FM	N7NKK	Tone	100.0 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
79	147.26000	147.26000	 	Simplex	FM	N7WPF	None	88.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
80	147.26000	147.26000	 	Simplex	FM	K7SG	None	88.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
81	147.30000	147.30000	 	Simplex	FM	WI7M	None	88.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
82	147.36000	147.36000	 	Simplex	FM	W7KBM	None	88.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
83	147.36000	147.36000	 	Simplex	FM	WI7M	None	88.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
84	147.38000	147.38000	 	Simplex	FM	KB7WQD	Tone	107.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
85	447.10000	447.10000	 	Simplex	FM	N0NHL	Tone	88.5 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
86	448.10000	448.10000	 	Simplex	FM	N7DZP	None	88.5 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
87	448.40000	448.40000	 	Simplex	FM	N7BO	None	88.5 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
88	448.50000	448.50000	 	Simplex	FM	K7WS	None	88.5 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
89	448.72500	448.72500	 	Simplex	FM	WB6TNP	None	88.5 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
90	448.75000	448.75000	 	Simplex	FM	NA7DB	None	88.5 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
91	449.32500	449.32500	 	Simplex	FM	NR7K	None	88.5 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
92	449.35000	449.35000	 	Simplex	FM	KI2U	None	88.5 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
93	449.42500	449.42500	 	Simplex	FM	KA7STK	None	88.5 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
94	449.50000	449.50000	 	Simplex	FM	WA7GTU	None	88.5 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
95	449.52500	449.52500	 	Simplex	FM	KA7STK	Tone	100.0 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
96	449.70000	449.70000	 	Simplex	FM	K7SG	Tone	100.0 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
97	449.72500	449.72500	 	Simplex	FM	KD7YK	None	88.5 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
98	449.75000	449.75000	 	Simplex	FM	W7AOR	Tone	123.0 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
99	449.85000	449.85000	 	Simplex	FM	W7NRC	None	88.5 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
100	449.90000	449.90000	 	Simplex	FM	WA7GTU	None	88.5 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
101	449.90000	449.90000	 	Simplex	FM	KD7HLL	Tone	123.0 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
102	449.92500	449.92500	 	Simplex	FM	W7CWI	None	88.5 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
103	145.27000	145.27000	 	Simplex	FM	N7SKO	Tone	131.8 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
104	145.39000	145.39000	 	Simplex	FM	W7IZU	Tone	100.0 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
105	146.79000	146.79000	 	Simplex	FM	W7IVK	Tone	100.0 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
106	147.06000	147.06000	 	Simplex	FM	KC7TMC	Tone	100.0 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
107	147.09000	147.09000	 	Simplex	FM	N7OK	Tone	100.0 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
108	147.21000	147.21000	 	Simplex	FM	WB7DRJ	None	88.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
109	147.24000	147.24000	 	Simplex	FM	W7IVK	Tone	146.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
110	147.30000	147.30000	 	Simplex	FM	KC6TZB	Tone	156.7 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
111	147.39000	147.39000	 	Simplex	FM		None	88.5 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
112	224.88000	224.88000	 	Simplex	FM	WB6RUF	Tone	156.7 Hz	023	Low	Off	20 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
113	447.00000	447.00000	 	Simplex	FM	W7AOR	Tone	100.0 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
114	447.30000	447.30000	 	Simplex	FM	KG7SS	Tone	100.0 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
115	447.32500	447.32500	 	Simplex	FM	N7SGV	Tone	127.3 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
116	449.30000	449.30000	 	Simplex	FM	N7YOR	Tone	167.9 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
117	449.67500	449.67500	 	Simplex	FM	WA7CYC	Tone	167.9 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
118	449.67500	449.67500	 	Simplex	FM	WA7CYC	Tone	192.8 Hz	023	High	Off	25 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
119	927.31250	927.31250	 	Simplex	FM	KA3IDN	None	88.5 Hz	023	High	Off	12.5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
120	927.46250	927.46250	 	Simplex	FM	KA3IDN	Tone	151.4 Hz	023	High	Off	12.5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
121	52.68000	52.68000	 	Simplex	FM		Tone	107.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
122	145.12000	145.12000	 	Simplex	FM		Tone	107.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
123	145.20000	145.20000	 	Simplex	FM		Tone	131.8 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
124	145.28000	145.28000	 	Simplex	FM		Tone	107.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
125	145.34000	145.34000	 	Simplex	FM		Tone	107.2 Hz	023	High	Off	5 kHz	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off	Off		1	
